Name,Total Paid Claims,Total Claim Dollars Paid
Cattaraugus,341,$5006149.15
Chautauqua,1050,$8875593.48
Suffolk,26465,$1106943820.96
Jefferson,133,$2293521.16
Erie,1092,$10314502.97
Wyoming,76,$959872.78
Orleans,16,$90041.88
Monroe,424,$4790082.51
St. Lawrence,66,$1675201.68
Nassau,43734,$2272441680.24
Queens,12350,$706005213.24
Saratoga,441,$8108424.98
Albany,246,$4478022.08
Niagara,97,$747531.39
Essex,249,$6222507.62
Fulton,82,$895585.74
Herkimer,348,$6033202.59
Rockland,2123,$44551374.91
Westchester,8695,$262621115.68
Orange,1387,$26177497.11
Genesee,85,$1461967.61
Madison,244,$4607878.11
Bronx,1347,$27109862.19
New York,833,$119721506.02
Kings,4956,$328015227.48
Montgomery,238,$8858946.90
Otsego,339,$8667524.91
Oneida,826,$16019640.82
Washington,80,$1300874.32
Wayne,131,$2332048.53
Allegany,126,$714686.32
Livingston,55,$605150.29
Chenango,492,$11326807.23
Delaware,1113,$39514973.15
Schoharie,590,$31355498.97
Ulster,1008,$30051856.43
Columbia,184,$2977579.04
Steuben,217,$2043478.50
Ontario,162,$2563950.28
Chemung,170,$2183636.35
Tompkins,186,$1870211.14
Cortland,253,$3413262.54
Cayuga,164,$1485439.04
Oswego,123,$2448160.00
Putnam,214,$5311041.27
Lewis,29,$453249.51
Seneca,69,$972503.88
Hamilton,22,$667640.02
Clinton,221,$4863443.66
Rensselaer,300,$5473406.91
Greene,435,$18719945.75
Dutchess,592,$13915465.96
Richmond,10641,$265624240.38
Schuyler,20,$409911.20
Sullivan,767,$16125551.79
Warren,77,$1837361.41
Broome,2641,$137387764.34
Schenectady,277,$7875421.74
Tioga,1343,$61079464.00
Franklin,23,$176912.56
Onondaga,617,$8343993.75
Yates,66,$1107151.18
