zip_code,borough,claim_count,paid_claim_count,building_payments,contents_payments,icc_payments,total_claim_dollars_paid,average_payment_per_paid_claim
10000,Bronx,2,0,0.0,0.0,0.0,0.0,
10451,Bronx,5,5,175166.53999999998,30248.510000000002,0.0,205415.05,41083.009999999995
10452,Bronx,6,3,2175.0,27268.0,0.0,29443.0,9814.333333333334
10453,Bronx,3,2,251626.02,450.0,0.0,252076.02,126038.01
10454,Bronx,24,13,2287903.45,157020.69,0.0,2444924.14,188071.08769230772
10455,Bronx,9,2,17664.1,50022.86,0.0,67686.95999999999,33843.479999999996
10456,Bronx,3,1,0.0,13634.48,0.0,13634.48,13634.48
10457,Bronx,1,1,0.0,6391.5,0.0,6391.5,6391.5
10458,Bronx,3,2,3339.84,0.0,0.0,3339.84,1669.92
10460,Bronx,1,1,3664.88,0.0,0.0,3664.88,3664.88
10461,Bronx,33,22,966233.39,517267.42,0.0,1483500.81,67431.855
10462,Bronx,19,14,419883.01999999996,18388.46,0.0,438271.48,31305.105714285713
10463,Bronx,12,8,88121.65,14801.85,0.0,102923.5,12865.4375
10464,Bronx,261,181,2706925.2,168919.88999999998,0.0,2875845.09,15888.646906077347
10465,Bronx,1184,917,12377070.78,1357200.23,60000.0,13794271.01,15042.825528898582
10466,Bronx,35,27,188700.72,15835.29,0.0,204536.01,7575.407777777778
10467,Bronx,5,5,34311.65,2223.75,0.0,36535.4,7307.08
10468,Bronx,6,4,11095.11,5300.75,0.0,16395.86,4098.965
10469,Bronx,50,32,112157.24,15888.93,0.0,128046.17,4001.4428125
10470,Bronx,2,2,13572.46,174.0,0.0,13746.46,6873.23
10471,Bronx,34,23,278008.28,18783.75,0.0,296792.02999999997,12904.001304347825
10472,Bronx,47,19,1240693.0599999998,586382.29,0.0,1827075.35,96161.8605263158
10473,Bronx,131,91,2000364.68,84724.44,0.0,2085089.1199999999,22913.067252747252
10474,Bronx,8,1,237362.41,0.0,0.0,237362.41,237362.41
10475,Bronx,48,33,642295.29,95006.62,0.0,737301.91,22342.48212121212
10803,Bronx,9,7,73991.01,30979.85,0.0,104970.86,14995.837142857143
11801,Bronx,2,1,1305.63,0.0,0.0,1305.63,1305.63
13905,Bronx,1,0,0.0,0.0,0.0,0.0,
10000,Brooklyn,1,1,39865.53,0.0,0.0,39865.53,39865.53
10002,Brooklyn,1,0,0.0,0.0,0.0,0.0,
10004,Brooklyn,1,1,500000.0,12942.59,0.0,512942.59,512942.59
10007,Brooklyn,1,1,3074.0,0.0,0.0,3074.0,3074.0
10009,Brooklyn,3,2,200598.76,0.0,0.0,200598.76,100299.38
10011,Brooklyn,1,1,8163.08,0.0,0.0,8163.08,8163.08
10014,Brooklyn,1,1,10189.21,0.0,0.0,10189.21,10189.21
10016,Brooklyn,3,2,1000000.0,1000000.0,0.0,2000000.0,1000000.0
10017,Brooklyn,1,0,0.0,0.0,0.0,0.0,
10021,Brooklyn,1,1,15000.0,0.0,0.0,15000.0,15000.0
10039,Brooklyn,3,1,26194.47,0.0,0.0,26194.47,26194.47
10081,Brooklyn,1,1,0.0,740.0,0.0,740.0,740.0
11201,Brooklyn,45,30,11304924.729999999,1674170.69,0.0,12979095.42,432636.514
11203,Brooklyn,25,17,162090.37,24148.9,0.0,186239.27000000002,10955.251176470589
11204,Brooklyn,45,31,55196.79,74435.09,0.0,129631.88,4181.673548387097
11205,Brooklyn,9,5,41199.57,54581.57,0.0,95781.14,19156.228
11206,Brooklyn,13,9,66777.48000000001,24574.71,0.0,91352.19,10150.243333333334
11207,Brooklyn,18,10,217012.96000000002,17544.78,0.0,234557.74000000002,23455.774
11208,Brooklyn,16,12,217222.78999999998,74614.28,0.0,291837.07,24319.755833333333
11209,Brooklyn,79,65,220655.16,65812.76,0.0,286467.92,4407.198769230769
11210,Brooklyn,48,33,188779.13,48472.74,0.0,237251.87,7189.450606060606
11211,Brooklyn,84,57,4039721.29,1339113.37,0.0,5378834.66,94365.5203508772
11212,Brooklyn,7,5,11172.86,11994.0,0.0,23166.86,4633.372
11213,Brooklyn,5,2,300.0,2969.11,0.0,3269.11,1634.555
11214,Brooklyn,139,110,1244630.34,360591.01,0.0,1605221.35,14592.921363636364
11215,Brooklyn,96,67,1204274.75,773720.36,0.0,1977995.11,29522.315074626866
11216,Brooklyn,9,5,22069.13,1000.0,0.0,23069.13,4613.826
11217,Brooklyn,40,26,2200137.86,265612.48000000004,0.0,2465750.34,94836.55153846153
11218,Brooklyn,42,32,297154.86,17637.42,0.0,314792.27999999997,9837.258749999999
11219,Brooklyn,64,53,54404.39,190931.61,0.0,245336.0,4628.981132075472
11220,Brooklyn,20,14,413132.22000000003,52711.49,0.0,465843.71,33274.55071428572
11221,Brooklyn,11,11,110311.76,0.0,0.0,110311.76,10028.341818181818
11222,Brooklyn,104,74,5341192.38,683619.27,0.0,6024811.65,81416.37364864866
11223,Brooklyn,80,56,2060099.82,71731.73,0.0,2131831.5500000003,38068.42053571429
11224,Brooklyn,1602,1433,100516134.76,9768786.66,210000.0,110494921.42,77107.41201674809
11225,Brooklyn,7,3,31589.11,0.0,0.0,31589.11,10529.703333333333
11226,Brooklyn,29,23,100567.85,44591.35,0.0,145159.2,6311.269565217392
11227,Brooklyn,1,1,251.0,1196.0,0.0,1447.0,1447.0
11228,Brooklyn,56,42,83014.15,63507.73,0.0,146521.88,3488.6161904761907
11229,Brooklyn,711,625,22877857.61,2388317.89,1348500.0,26614675.5,42583.4808
11230,Brooklyn,38,25,176963.74,61288.14,0.0,238251.88,9530.0752
11231,Brooklyn,295,238,19384268.34,3227413.65,0.0,22611681.99,95007.06718487394
11232,Brooklyn,57,49,9388521.28,794406.49,0.0,10182927.77,207814.8524489796
11233,Brooklyn,17,6,62576.76,4375.0,0.0,66951.76000000001,11158.626666666669
11234,Brooklyn,484,372,9030878.68,1652595.63,0.0,10683474.31,28719.016962365593
11235,Brooklyn,1662,1423,97201655.83,6582186.34,176387.33000000002,103960229.5,73057.0832747716
11236,Brooklyn,266,194,3574050.64,446710.24,30000.0,4050760.88,20880.210721649484
