borough,zip_code,multiple_loss_properties,total_repeat_losses,severe_repetitive_loss_properties,post_firm_construction_count,currently_insured_count,mitigated_count
Bronx,10452,1,3,0,0,0,0
Bronx,10454,2,4,0,0,2,0
Bronx,10462,3,7,0,0,0,0
Bronx,10464,17,40,0,3,10,0
Bronx,10465,106,336,14,3,70,0
Bronx,10466,4,9,0,0,0,0
Bronx,10469,3,6,0,0,1,0
Bronx,10471,5,10,0,0,2,0
Bronx,10472,5,14,1,0,2,0
Bronx,10473,12,31,1,1,7,0
Bronx,10475,6,17,1,0,2,0
Brooklyn,11201,2,4,0,1,1,0
Brooklyn,11203,3,6,0,0,0,0
Brooklyn,11204,3,6,0,0,0,0
Brooklyn,11205,1,2,0,0,0,0
Brooklyn,11206,1,2,0,0,0,0
Brooklyn,11207,1,2,0,1,1,0
Brooklyn,11208,1,2,0,0,0,0
Brooklyn,11209,5,10,0,0,0,0
Brooklyn,11210,7,17,0,0,0,0
Brooklyn,11211,8,16,0,2,6,0
Brooklyn,11212,1,2,0,0,0,0
Brooklyn,11214,16,39,0,1,5,0
Brooklyn,11215,10,26,1,0,4,0
Brooklyn,11217,3,6,0,0,1,0
Brooklyn,11218,4,10,0,0,1,0
Brooklyn,11219,11,27,0,0,0,0
Brooklyn,11220,3,6,0,1,1,0
Brooklyn,11221,1,3,0,0,1,0
Brooklyn,11222,8,20,0,0,4,0
Brooklyn,11223,6,12,0,0,0,0
Brooklyn,11224,50,131,8,4,24,0
Brooklyn,11226,6,15,0,0,1,0
Brooklyn,11228,7,16,0,0,0,0
Brooklyn,11229,62,149,1,2,37,0
Brooklyn,11230,4,9,0,0,0,0
Brooklyn,11231,21,50,1,2,17,0
Brooklyn,11232,4,13,1,0,1,0
Brooklyn,11233,1,2,0,0,0,0
Brooklyn,11234,33,79,1,3,7,0
Brooklyn,11235,62,141,2,10,35,0
Brooklyn,11236,16,35,0,0,3,0
Brooklyn,11237,2,6,0,0,0,0
Brooklyn,11238,1,2,0,0,0,0
Brooklyn,11249,4,8,0,4,3,0
Manhattan,10001,1,2,0,0,1,0
Manhattan,10005,2,4,0,0,1,0
Manhattan,10006,2,5,0,0,2,0
Manhattan,10007,2,8,1,0,0,0
Manhattan,10009,6,16,2,1,3,0
Manhattan,10010,4,8,0,0,0,0
Manhattan,10011,4,9,0,3,1,0
Manhattan,10013,10,22,0,0,4,0
Manhattan,10014,1,3,0,0,0,0
Manhattan,10016,1,2,0,0,0,0
Manhattan,10018,1,5,1,0,0,1
Manhattan,10029,2,5,0,2,1,0
Manhattan,10035,3,6,0,0,1,0
Manhattan,10037,11,28,0,0,11,0
Manhattan,10038,5,13,0,1,1,0
Manhattan,10039,1,2,0,0,1,0
Manhattan,10128,2,4,0,0,2,0
Manhattan,10280,1,2,0,0,1,0
Manhattan,11414,1,2,0,0,0,0
Manhattan,,1,2,0,0,0,0
Queens,11101,5,11,0,0,3,0
Queens,11102,1,2,0,0,0,0
Queens,11103,2,7,1,0,1,0
Queens,11105,1,2,0,0,0,0
Queens,11354,6,15,0,2,1,0
Queens,11355,11,42,2,0,0,0
Queens,11356,4,13,1,0,1,0
Queens,11357,7,16,0,1,1,0
Queens,11358,3,7,0,1,2,0
Queens,11360,2,4,1,0,0,0
Queens,11361,5,12,1,0,2,0
Queens,11362,4,10,0,0,0,0
Queens,11363,5,13,0,0,2,0
Queens,11364,7,20,0,0,0,0
Queens,11365,26,74,3,1,3,0
Queens,11366,3,8,0,0,2,0
Queens,11367,2,5,0,0,0,0
Queens,11368,3,7,0,0,0,0
Queens,11369,2,4,0,0,0,0
Queens,11372,1,2,0,1,0,0
Queens,11374,4,14,1,0,1,0
Queens,11375,9,19,0,0,5,0
Queens,11377,7,14,0,1,1,0
Queens,11378,3,6,0,1,0,0
Queens,11379,5,11,0,0,1,0
Queens,11385,2,4,0,0,2,0
Queens,11413,25,64,2,6,5,0
Queens,11414,313,813,23,30,188,0
Queens,11416,1,4,0,0,0,0
Queens,11417,4,10,0,0,0,0
Queens,11418,2,4,0,0,0,0
Queens,11420,11,40,1,0,0,0
Queens,11422,49,129,3,14,31,0
Queens,11423,2,4,0,0,1,0
Queens,11432,2,4,0,0,0,0
Queens,11433,3,8,0,1,0,0
Queens,11434,4,10,0,0,0,0
Queens,11435,2,33,2,0,1,0
Queens,11436,1,2,0,0,0,0
Queens,11691,190,476,7,29,144,0
Queens,11692,151,419,18,15,100,0
Queens,11693,156,461,33,21,98,2
Queens,11694,136,335,2,11,87,0
Queens,11697,308,753,10,98,226,3
Queens,,4,11,0,0,0,0
Staten Island,10014,1,4,1,0,0,0
Staten Island,10301,54,131,0,0,0,0
Staten Island,10302,75,200,0,6,17,0
Staten Island,10303,34,89,0,0,1,0
Staten Island,10304,79,210,1,0,1,0
Staten Island,10305,456,1263,13,53,130,1
Staten Island,10306,738,2001,27,93,283,0
Staten Island,10307,30,74,1,15,12,0
Staten Island,10308,175,471,11,23,32,0
Staten Island,10309,47,117,2,3,3,0
Staten Island,10310,49,127,0,2,5,0
Staten Island,10312,253,616,1,10,10,0
Staten Island,10314,403,1024,1,3,7,0
Staten Island,,5,10,0,0,0,0
